OBJECTID,NAME,SHORT_NAME,PARKTYPE,COUNTY,SHOW,GLOBALID,CREATED_DATE,LAST_EDITED_DATE,SHAPE__Area,SHAPE__Length
460,Greenbelt State Nature Preserve,Greenbelt State Nature Preserve,State Government,Hamilton,1,636a4ca6-7446-4ad3-bc01-e425e81d5cb1,,,443476.012194872,4946.07445037277
461,Kroger Hills Conservation Area,Kroger Hills Conservation Area,State Government,Hamilton,1,fb8d49e3-b0ec-4f39-98b8-595bd62127b7,,,552716.75,3719.11319254231
462,Roberts Recreation Area,Roberts Recreation Area,City or Village,Hamilton,1,c94f6135-6e31-4f23-a865-c527e0d89756,,2025/10/31 14:15:03+00,24294.21875,627.536976891898
463,Mt. Airy Recreation Area,Mt. Airy Recreation Area,,Hamilton,1,f4d0bb62-4116-49ad-8947-26e5fed61533,2025/04/08 15:33:21+00,2025/10/31 14:15:03+00,73799.8258008957,1478.16162906863
464,TOWER PARK,Norwood Mound,City or Village,Hamilton,1,4745d78c-b33b-45b8-a971-967cc6e71675,2025/06/12 14:50:49+00,2025/06/12 14:51:04+00,1802.51161178946,155.09370045047
465,Silverton Town Commons,Silverton Town Commons,City or Village,Hamilton,1,29abd1e3-7e75-4356-a5cd-2f55016df2b6,2025/06/27 14:52:06+00,2025/06/27 14:53:59+00,907.660119324923,119.00265020153
466,Millcreek Valley Conservancy District,Millcreek Valley Conservancy District,Conservancy District,Hamilton,1,2d13a769-b486-4c01-81a2-025f17cc3b9c,,,87700.72265625,4580.57739271489
467,ELMWOOD PLACE PARK,Elmwood Place Park,City or Village,Hamilton,1,398a426c-5465-49c7-a564-6ad449eeaa92,,,557.5859375,105.650420031359
468,NEW BALTIMORE PARK,Pottenger Park,Township,Hamilton,1,58a24843-1c7c-451a-a9d5-679e38443798,,,3793.87109375,246.614700741566
469,CAMARGO CANYON PRESERVE,Camargo Canyon Preserve,City or Village,Hamilton,1,03318c8b-72be-44f6-8ca9-eddfb9c68f1b,,,115914.588968396,2139.68028048666
470,BLUE ASH SPORTS CENTER,Blue Ash Sports Center,City or Village,Hamilton,1,e21788e8-d89e-4409-94de-3d65fed63993,,,241457.1953125,2362.0970614225
471,MONTGOMERY MUNICPAL POOL,Montgomery Municipal Pool,City or Village,Hamilton,1,660cc3b7-fca6-4433-9732-030c13710d10,,,43160.73046875,855.341741458739
472,CLIPPARD PARK,Clippard Park,Township,Hamilton,1,f74ea8ee-f3c5-4da3-b13f-86fa104cdca8,,,100762.890625,1659.12217805616
473,RITCHIE PRESERVE,Ritchie Preserve,City or Village,Hamilton,1,fca9bc3e-0a92-4f51-a4df-286884a5752c,,,93904.28515625,2563.48482023457
474,CONGRESS & LAKE PARK,Lake Park,City or Village,Hamilton,1,8ef85873-f219-4992-8381-79a91adb57f9,,,24200.6852025986,782.456840499902
475,Veterans Park,Veterans Park,Township,Hamilton,1,2133f06e-0b89-48af-9c76-2850cc2863cd,,,81824.11328125,1329.58184813921
476,FIREFIGHTERS COMMUNITY PARK,Firefighters Park,City or Village,Hamilton,1,b854a4c7-8ace-4335-a946-4fc2408a7606,,,2807.546875,323.335896186852
477,OAK STREET BUFFER LAND-GLENDALE,Tollgate Park,City or Village,Hamilton,1,5e9ebd29-cce9-489d-938e-c078b467943a,,,1818.5,186.8114871021
478,Franklin Park,Franklin Park,City or Village,Hamilton,1,b68bcead-2251-4021-b464-f3eeb5dac2d0,,,1377.94140625,157.831462378642
479,ISAAC MAYER WISE MEMORIAL PARK,Isaac Mayer Wise Memorial Park,City or Village,Hamilton,1,bed59dbc-4750-48d3-91dd-bf97bc47030b,,,740.01171875,111.014054240779
480,MARSHAL PETER DUMELE MEMORIAL PARK,Marshall Peter Dumele Memorial Park,City or Village,Hamilton,1,a6948a7e-7b82-4e89-b5af-6c5ebfc38787,,,4522.984375,289.734004823083
481,MILL CREEK CONSERVANCY,Mill Creek Conservancy,Conservancy District,Hamilton,1,eb605083-d184-44e5-9c7d-ea07806b6f5a,,,475.14453125,185.220036831037
482,HOPEWELL MEADOWS PARK,Hopewell Meadows Park,Township,Hamilton,1,62a9b38c-a778-4002-8bfe-011616e5e395,,,103782.74609375,1541.7838413651
483,EVENDALE-UNK. PARK GLEN/MILF @ HUNT,Village of Evendale Park,City or Village,Hamilton,1,4d9b4ebf-a3f9-490d-9e4e-d666218406df,,,3261.0625,240.470286429519
484,BLUE ASH NATURE PARK,Nature Park,City or Village,Hamilton,1,e8f1b50e-10b2-45a1-b0a2-871a9dbabef8,,,88557.90625,1527.96052892295
485,Hamilton County Fairgrounds,Hamilton County Fairgrounds,County Government,Hamilton,1,cf01e4a8-9eca-4ac2-8dcd-a27d983e789f,,,255058.6953125,1995.32742820276
